BDD;ARK;ISNI;Label_categ;Prenoms;Nom;Sexe;RoleName;GenName;Surnoms;Annee_naissance;ID_Ville_naissance;Ville_naissance;Annee_mort;ID_Ville_mort;Ville_mort;Portraits;Confession;Formation;Professions;Oeuvre;Milieux_reseaux;Contacts_artistes;Fortune_critique;Publications;Citations;Bibliographie;Webographie;Notes;Commentaires
PERS0434;ark:/12148/cb12229894r;0000000435135722;LIBR;Adrien;Périer;;;;;15..;;;1629?;;;;;;"Libraire. - De confession calviniste. Ancien ""facteur"" du libraire Abraham Pacard et frère du libraire Jérémie Périer. En 1596, il épouse Madeleine Plantin (m. déc. 1599), fille de l'imprimeur-libraire Christophe Plantin et veuve du libraire Gilles Beys. Veuf, il se remarie le 16 sept. 1603. Fréquente les foires de Francfort. Aurait aussi tenu boutique au palais des États à La Haye. Décédé peu avant fév. 1629";;;;;;;;;;
PERS0175;ark:/12148/cb12230181h;0000000118738159;LIBR;Hendrick;Aertssens;;;;;1586/05/22;;;1658/03/12;;;;;;"Autre(s) graphie(s) : Aertsens ; Artsens. - Variante(s) de prénom : Henri ; Hendrik Gasparsz. - Imprimeur-libraire";;;;;;;;;;
PERS0399;ark:/12148/cb12083793k;0000000120958329;AUT;Leon Battista;Alberti;;;;;1404/02/18;3176219;Gênes, Italie;1472/04/03;3169070;Rome;;;;A aussi écrit en latin;;;;;;;;;;
PERS0085;ark:/12148/cb12230200z;0000000121202363;LIBR;Gervais;Alliot;;;;;159.?;;;1654;;;;;;"Imprimeur-libraire. - Reçu apprenti en avril 1607 ; reçu maître le 21 janv. 1621. Veuve attestée en 1654";;;;;;;;;;
PERS0441;ark:/12148/cb124599611;0000000108713783;AUT;Moïse;Amyraut;;;;;1596;3030944;Bourgueil (Indre-et-Loire);1664/01/18;2975758;Saumur (Maine-et-Loire);;;;A aussi écrit en latin|Pasteur et théologien. - A enseigné à l'Académie protesante de Saumur de 1626 à 1664;;;;;;;;;;
PERS0413;ark:/12148/cb12234836k;000000012321232X;AUT;Andreas;Schott;;;;;1552/09/12;2803138;Anvers (Belgique);1629/01/23;2803138;Anvers (Belgique);;;;Jésuite. - Philologue et polygraphe. - Professeur de rhétorique à Louvain, Rome puis Anvers;;;;;;;;;;
PERS0023;ark:/12148/cb121335637;0000000109071380;AUT;Josse;Andries;;;;;1588/04/15;;;1658/12/21;;;;;;Théologien de la Compagnie de Jésus. - Auteur de traités de piété;;;;;;;;;;
PERS0250;ark:/12148/cb13746046c;0000000003329101;LIBR;Charles;Angot;;;;;162.?;;;1694/10;;;;;;"Libraire. - Fils de Jean Ango, bourgeois de Falaise. Reçu apprenti de l'imprimeur-libraire parisien Pierre Le Petit en août 1644 ; reçu maître le 23 sept. 1655. Gendre en premières noces du libraire Georges I Josse. En 1673, demande l'autorisation de transporter une presse à Bourges pour y imprimer des usages. Syndic de la communauté des libraires et imprimeurs parisiens de 1679 à 1687, il contribue notamment à l'élaboration de l'édit de règlement d'août 1686. Décédé en oct. 1694. Inventaire après décès du 12 oct. au 8 nov. 1694. Son nom apparaît encore sur des publications de ses associés jusqu'en 1696 au moins";;;;;;;;;;
PERS0454;ark:/12148/cb12229178k;0000000110571083;LIBR;Laurent;Anisson;;;;;1600?;;;1672;;;;;;"Imprimeur-libraire. - Fils d'un marchand de Vienne (Isère). Entré en apprentissage en juin 1624 à Lyon chez les frères Horace et Jacques Cardon, dont il reprendra le fonds et la boutique en janv. 1635. Bourgeois de Lyon, il devient en 1669-1670 échevin de la ville (alors âgé d'environ 70 ans) et seigneur d'Hauteroche. Beau-père du libraire Jean Posuel. Décédé peu avant le 25 avril 1672. Ses fils Jean et Jacques I Anisson continuent de publier sous son nom jusqu'en 1691 au moins|De 1635 à 1638, associé au libraire Gabriel Boissat dans la succession de Jacques Cardon ; de 1639 à 1646, associé aux héritiers de G. Boissat";;;;;;;;;;
PERS0321;ark:/12148/cb13774008z;0000000000991706;LIBR;Antoine;Molin;;;;;1612/08/20;;;1691/09;;;;;;Libraire. - Natif de Saint-Jean-de-Touslas, près Givors, fils de laboureur. Frère de l'imprimeur Jean Molin. Établi avant avril 1646, date à laquelle il reçoit un apprenti. Membre de la Compagnie des libraires de Lyon. Emprisonné quelques jours en nov. 1665 pour contrefaçon. Décédé début sept. 1691, peut-être le 12 sept.;;;;;;;;;;
